loan_amnt,term,int_rate,installment,grade,annual_inc,loan_status,dti
20000.0,36,11.99,664.2,2,50000.0,0,9.44
5000.0,36,12.88,168.19,2,72000.0,0,26.04
35000.0,36,13.44,1186.72,2,160000.0,1,12.51
4500.0,36,13.99,153.78,2,140000.0,1,9.65
18000.0,36,10.78,587.43,1,91000.0,0,5.5
20000.0,60,15.77,483.93,3,57000.0,0,21.09
11000.0,36,8.38,346.64,1,32000.0,1,11.78
26400.0,60,17.57,664.23,3,118000.0,1,9.54
6500.0,36,7.91,203.42,0,42000.0,1,17.49
15000.0,60,13.44,344.69,2,70000.0,1,26.38
10000.0,36,13.18,337.81,2,38000.0,1,32.63
28000.0,36,7.89,876.0,0,75000.0,1,14.46
31325.0,36,15.77,1097.75,3,157000.0,1,30.13
22900.0,60,15.77,554.09,3,60000.0,1,17.57
4000.0,36,18.99,146.61,4,56000.0,0,20.94
8000.0,36,13.44,271.26,2,98500.0,1,9.23
20000.0,36,9.8,643.47,1,75000.0,1,23.45
12775.0,60,19.89,337.68,4,57000.0,0,34.4
4500.0,36,12.88,151.37,2,30000.0,1,25.92
5650.0,36,8.38,178.05,1,50000.0,1,21.6
21000.0,60,13.44,482.56,2,50000.0,0,18.05
26025.0,60,21.48,711.11,4,101000.0,1,11.8
30000.0,36,14.85,1037.76,2,112000.0,1,19.07
25000.0,36,7.91,782.38,0,124000.0,0,23.61
2000.0,36,13.99,68.35,2,26700.0,1,34.02
35000.0,36,8.49,1104.71,1,86000.0,1,5.54
5300.0,36,10.78,172.97,1,55000.0,1,23.01
4800.0,36,12.88,161.46,2,26000.0,1,16.11
1000.0,36,11.99,33.21,2,53000.0,1,18.57
10000.0,36,13.44,339.07,2,40000.0,1,26.13
15000.0,36,6.89,462.41,0,52000.0,1,33.66
16000.0,36,6.99,493.97,0,150000.0,1,12.18
8175.0,36,16.59,289.8,3,63000.0,0,19.9
20000.0,60,15.77,483.93,3,109000.0,1,11.13
8000.0,36,8.49,252.51,1,35000.0,1,24.61
8450.0,36,11.99,280.63,2,37380.0,1,15.09
8000.0,36,12.88,269.09,2,56000.0,1,29.23
19500.0,36,14.85,674.55,2,46800.0,1,20.64
16000.0,36,9.76,514.48,1,100000.0,1,8.32
5000.0,36,11.48,164.84,1,32000.0,1,17.03
5000.0,36,12.88,168.19,2,45000.0,1,34.21
3500.0,36,13.44,118.68,2,47000.0,1,32.53
20000.0,36,10.64,651.37,1,52000.0,1,13.02
18000.0,36,6.99,555.71,0,98000.0,1,20.7
12000.0,36,9.17,382.55,1,50000.0,1,20.45
25200.0,60,13.18,575.71,2,74000.0,1,19.22
25000.0,60,9.17,521.03,1,140000.0,0,12.39
11000.0,36,13.99,375.91,2,57200.0,1,15.04
5000.0,36,5.32,150.58,0,60000.0,1,8.68
8000.0,36,15.77,280.35,3,65899.0,1,21.74
10000.0,36,11.99,332.1,2,150000.0,1,7.6
13750.0,36,6.99,424.5,0,99000.0,1,9.45
11200.0,36,14.85,387.43,2,50000.0,1,36.22
26550.0,60,16.99,659.7,3,68100.0,1,26.36
6000.0,36,13.44,203.44,2,35000.0,1,16.74
10000.0,36,7.49,311.02,0,60000.0,0,17.39
15000.0,60,13.44,344.69,2,62000.0,1,15.37
15000.0,36,12.88,504.55,2,118000.0,1,23.7
18000.0,36,8.49,568.14,1,72000.0,1,14.5
14000.0,36,6.89,431.58,0,90000.0,1,15.09
15000.0,60,12.88,340.38,2,90000.0,1,21.17
25000.0,36,6.49,766.12,0,52000.0,1,27.03
8400.0,36,12.88,282.55,2,44000.0,1,1.45
5000.0,36,8.49,157.82,1,46000.0,1,1.2
5000.0,36,9.17,159.4,1,55000.0,1,12.39
5500.0,36,6.49,168.55,0,30000.0,1,28.32
24000.0,36,13.18,810.74,2,130000.0,1,24.16
25000.0,36,5.32,752.87,0,75000.0,1,16.48
11650.0,36,19.48,429.88,4,113000.0,1,8.68
24300.0,60,21.48,663.98,4,70000.0,0,34.47
9000.0,36,13.99,307.56,2,28000.0,1,24.52
8500.0,36,8.38,267.86,1,73000.0,1,12.43
10000.0,36,15.77,350.44,3,36048.0,1,31.89
11025.0,36,13.44,373.82,2,24000.0,1,26.21
22400.0,36,7.91,701.01,0,150000.0,1,4.69
8000.0,36,17.57,287.5,3,62776.0,1,37.76
24000.0,60,13.99,558.32,2,80000.0,0,28.65
14400.0,36,5.32,433.66,0,68000.0,1,24.02
5000.0,36,11.22,164.22,1,45000.0,0,18.43
7200.0,36,9.8,231.65,1,68000.0,1,10.57
6000.0,36,12.59,200.99,2,35000.0,1,14.33
22000.0,36,15.77,770.96,3,80000.0,1,19.97
10000.0,36,8.49,315.63,1,99000.0,0,7.5
10000.0,60,19.99,264.89,4,92000.0,0,1.81
8000.0,36,10.78,261.08,1,38000.0,1,25.36
4800.0,36,9.8,154.44,1,33000.0,1,6.91
16000.0,36,7.91,500.72,0,70000.0,1,10.81
20000.0,36,6.89,616.54,0,141000.0,1,2.34
24000.0,60,18.49,615.86,3,165000.0,1,13.05
10000.0,36,10.78,326.35,1,125000.0,1,19.92
8000.0,36,12.59,267.98,2,35000.0,1,20.34
10000.0,36,16.59,354.5,3,65000.0,0,17.26
10000.0,36,8.49,315.63,1,30000.0,0,24.67
16000.0,60,13.67,369.57,2,45000.0,0,28.45
7000.0,36,9.8,225.22,1,32000.0,1,20.07
